id,姓名,加入時間,班級
82,蘇慧君,2021-06-25 17:20:12.600631,7月班
83,蔡郁婷,2021-06-18 12:26:16.750377,7月班
84,李郁婷,2021-06-25 00:36:12.407050,7月班
85,黃怡萱,2021-06-30 00:28:17.827308,7月班
86,王志宏,2021-06-21 09:46:10.439166,7月班
87,谷雅芳,2021-06-22 06:47:44.327279,7月班
88,王馨儀,2021-06-29 19:14:30.650332,7月班
89,秦雅惠,2021-06-26 03:10:34.302111,7月班
90,王雅琪,2021-06-29 09:30:35.597873,7月班
91,邱怡婷,2021-06-30 14:27:10.118142,7月班
92,亓靜怡,2021-06-28 08:45:55.897240,7月班
93,徐冠廷,2021-06-26 19:26:36.229596,7月班
94,張淑慧,2021-06-20 06:18:58.822727,7月班
95,孫威廷,2021-06-19 16:00:33.420660,7月班
96,曹淑芬,2021-06-30 11:50:10.424769,7月班
97,皮佳玲,2021-06-30 19:32:29.936115,7月班
98,羅馨儀,2021-06-28 14:37:33.790447,7月班
99,李志偉,2021-06-29 17:01:43.094101,7月班
100,何宜君,2021-06-27 17:55:15.708792,7月班
101,梁佳慧,2021-06-22 17:38:58.834984,7月班
102,張怡伶,2021-06-28 16:38:20.440976,7月班
103,朱淑貞,2021-06-26 03:38:06.075349,7月班
104,張建宏,2021-06-21 02:56:47.940521,7月班
105,劉依婷,2021-06-20 11:01:26.950816,7月班
106,胡怡安,2021-06-28 14:11:49.035608,7月班
107,沈淑惠,2021-06-29 08:06:21.120296,7月班
108,杜惠如,2021-06-28 10:13:29.175464,7月班
109,吳依婷,2021-06-30 04:27:23.392376,7月班
110,張家瑋,2021-06-27 22:12:49.258799,7月班
111,鄭怡君,2021-06-23 05:39:14.039319,7月班
112,高家瑜,2021-06-30 08:44:06.792151,7月班
113,余宜君,2021-06-20 15:56:04.831825,7月班
114,李惠雯,2021-06-20 20:34:54.393773,7月班
115,劉冠宇,2021-06-30 12:48:46.758178,7月班
116,段哲瑋,2021-06-29 10:22:16.626151,7月班
117,劉筱涵,2021-06-27 23:07:59.841065,7月班
118,李佳蓉,2021-06-25 14:19:37.252636,7月班
119,李雅涵,2021-06-22 08:35:44.784058,7月班
120,郭婷婷,2021-06-26 02:08:38.971963,7月班
121,李詩涵,2021-06-20 00:19:29.869382,7月班
122,刁靜宜,2021-06-25 14:22:05.152968,7月班
123,鄭雅玲,2021-06-24 18:57:25.083087,7月班
124,鞠羽,2021-06-30 12:45:49.590246,7月班
125,陳筱涵,2021-06-28 02:00:50.708882,7月班
126,冷俊宏,2021-06-27 07:49:36.272284,7月班
127,薛羽,2021-06-23 00:04:20.833552,7月班
128,吳嘉玲,2021-06-28 23:37:27.502519,7月班
129,劉怡如,2021-06-26 16:42:13.525592,7月班
130,朱雅玲,2021-06-28 04:11:01.257020,7月班
131,石琬婷,2021-06-30 21:22:19.623957,7月班
132,張俊賢,2021-06-26 21:19:49.460543,7月班
133,谷佳玲,2021-06-27 07:23:23.322878,7月班
134,徐宇軒,2021-06-30 07:55:33.736717,7月班
135,黃婉婷,2021-06-21 12:11:13.873838,7月班
136,趙建宏,2021-06-27 14:34:54.198889,7月班
137,杜宜君,2021-06-22 17:21:51.155989,7月班
138,李雅玲,2021-06-28 07:31:39.920416,7月班
139,王俊宏,2021-06-30 15:46:08.237940,7月班
140,張惠婷,2021-06-24 23:28:02.069973,7月班
141,司雅芳,2021-06-24 03:21:56.003277,7月班
142,林思穎,2021-06-27 11:26:11.739261,7月班
143,楊哲瑋,2021-06-26 19:36:57.583874,7月班
144,陶飛,2021-06-24 15:19:21.923743,7月班
145,郭怡萱,2021-06-30 22:50:51.903754,7月班
146,沈鈺婷,2021-06-29 22:03:48.963700,7月班
147,陳淑芬,2021-06-27 13:39:46.216514,7月班
148,李婷婷,2021-06-29 04:52:43.394111,7月班
149,嚴沖,2021-06-30 19:43:11.256679,7月班
150,趙怡萱,2021-06-24 08:04:19.525496,7月班
151,袁宜庭,2021-06-28 18:47:54.765250,7月班
152,王佳蓉,2021-06-20 08:52:36.283382,7月班
153,鄧怡安,2021-06-29 13:53:12.760591,7月班
154,龍淑惠,2021-06-17 08:22:29.192483,7月班
155,謝郁婷,2021-06-22 10:10:37.321160,7月班
156,姚宜君,2021-06-26 13:04:34.251481,7月班
157,周承翰,2021-06-27 10:58:15.632931,7月班
158,周欣怡,2021-06-16 23:18:27.554234,7月班
159,趙瑋婷,2021-06-26 12:53:07.867838,7月班
160,樂雅玲,2021-06-29 22:16:04.447805,7月班
161,佘建宏,2021-06-29 20:51:37.372649,7月班
162,林佳穎,2021-06-30 07:16:03.996245,7月班
163,周郁雯,2021-06-24 14:29:00.148299,7月班
164,倪宇軒,2021-06-21 01:33:39.422175,7月班
165,李俊賢,2021-06-29 19:19:33.355074,7月班
166,陳美琪,2021-06-29 20:11:36.424813,7月班
167,崔怡伶,2021-06-24 05:49:39.002342,7月班
168,鐘信宏,2021-06-29 19:46:03.227996,7月班
169,徐佳穎,2021-06-23 07:30:54.405354,7月班
170,黃怡伶,2021-06-25 20:14:12.020964,7月班
171,厲雅筑,2021-06-27 18:55:18.250381,7月班
172,羅淑娟,2021-06-28 23:19:51.543079,7月班
173,梁龍,2021-06-25 01:03:34.318684,7月班
174,邢雅慧,2021-06-26 09:04:34.347842,7月班
175,馬家瑜,2021-06-24 20:09:19.253813,7月班
176,喻怡婷,2021-06-29 14:37:39.977519,7月班
177,蔡承翰,2021-06-27 08:29:58.685686,7月班
178,邢雅琪,2021-06-30 08:48:28.137660,7月班
179,馬淑惠,2021-06-29 04:48:47.619020,7月班
180,李淑慧,2021-06-29 06:32:47.283274,7月班
181,李信宏,2021-06-27 13:15:35.098106,7月班
182,蔡冠霖,2021-06-22 22:02:27.414515,7月班
183,周美琪,2021-06-26 07:06:28.454787,7月班
184,黃淑娟,2021-06-28 10:12:53.515294,7月班
185,錢淑娟,2021-06-30 02:47:01.657014,7月班
186,劉靜宜,2021-06-29 10:07:30.374823,7月班
187,喬家瑋,2021-06-28 21:00:41.326733,7月班
188,劉家瑋,2021-06-30 15:30:59.098091,7月班
189,高承翰,2021-06-29 23:53:34.793741,7月班
190,沈家豪,2021-06-29 06:35:36.594135,7月班
191,陳彥廷,2021-06-23 11:27:24.649154,7月班
192,吳宇軒,2021-06-23 19:56:41.466213,7月班
193,徐飛,2021-06-23 22:09:51.335783,7月班
194,楊美琪,2021-06-26 06:21:44.053094,7月班
195,李淑芬,2021-06-16 14:45:57.147009,7月班
196,程佩珊,2021-06-28 19:35:18.704267,7月班
197,陳淑芬,2021-06-21 22:37:35.278498,7月班
198,莊威廷,2021-06-23 03:43:39.761196,7月班
199,姚嘉玲,2021-06-25 03:53:11.605091,7月班
200,劉柏翰,2021-06-23 21:13:25.900829,7月班
201,馬宇軒,2021-06-26 22:31:32.316918,7月班
202,計中山,2021-06-24 21:21:55.382871,7月班
203,張淑貞,2021-06-28 16:03:55.958453,7月班
204,黃佳穎,2021-06-25 18:44:31.767781,7月班
205,塗宗翰,2021-06-25 17:57:45.023261,7月班
206,戴雅芳,2021-06-27 15:01:39.329227,7月班
207,李鈺婷,2021-06-26 08:33:16.975043,7月班
208,李瑋婷,2021-06-29 20:09:39.184715,7月班
209,劉彥廷,2021-06-26 02:10:10.343985,7月班
210,董淑華,2021-06-23 19:15:40.207698,7月班
211,劉俊賢,2021-06-27 00:56:09.881778,7月班
212,李婷婷,2021-06-21 09:54:25.466702,7月班
213,殷雅琪,2021-06-30 21:41:13.939116,7月班
214,王宇軒,2021-06-24 16:26:27.734876,7月班
215,王惠婷,2021-06-29 22:07:17.280217,7月班
216,袁慧君,2021-06-25 01:06:27.660304,7月班
217,孟怡萱,2021-06-24 10:19:06.341797,7月班
218,孫慧君,2021-06-23 13:22:51.106082,7月班
219,彭飛,2021-06-26 22:39:07.089161,7月班
220,孫家瑋,2021-06-30 21:03:32.535204,7月班
221,王怡君,2021-06-28 08:43:25.388586,7月班
222,章佩珊,2021-06-26 22:34:18.195441,7月班
223,張雅芳,2021-06-30 17:11:32.889615,7月班
224,徐怡安,2021-06-28 13:11:55.461278,7月班
225,鄒靜宜,2021-06-27 03:08:28.398573,7月班
226,張欣怡,2021-06-30 05:33:42.215845,7月班
227,黃家瑋,2021-06-18 02:56:42.099233,7月班
228,楊淑芬,2021-06-27 20:56:46.452089,7月班
229,高龍,2021-06-29 12:20:43.131879,7月班
230,王威廷,2021-06-23 23:34:35.227449,7月班
231,李佩珊,2021-06-30 01:22:06.029742,7月班
232,冷雅玲,2021-06-22 17:03:41.147749,7月班
233,羅家瑋,2021-06-16 07:54:10.749632,7月班
234,徐宗翰,2021-06-29 04:45:12.577194,7月班
235,陳傑克,2021-06-30 13:11:42.648724,7月班
236,馬飛,2021-06-28 06:43:45.173531,7月班
237,李龍,2021-06-26 08:40:16.539567,7月班
238,王婷婷,2021-06-26 04:47:00.990027,7月班
239,王傑克,2021-06-28 00:18:34.713795,7月班
240,羅哲瑋,2021-06-29 04:48:49.384160,7月班
241,曹俊傑,2021-06-30 02:19:27.721416,7月班
242,荊郁婷,2021-06-30 03:18:55.016152,7月班
243,楊雅惠,2021-06-28 19:07:03.375061,7月班
244,範俊傑,2021-06-19 15:25:59.968808,7月班
245,徐志偉,2021-06-30 21:07:36.320315,7月班
246,周瑋婷,2021-06-23 17:19:13.857864,7月班
247,李雅芳,2021-06-26 05:00:30.343126,7月班
248,趙淑惠,2021-06-25 21:52:57.086081,7月班
249,王婉婷,2021-06-30 07:56:20.267058,7月班
250,李欣怡,2021-06-17 02:24:28.160034,7月班
251,王馨儀,2021-06-25 21:38:31.859500,7月班
252,胡柏翰,2021-06-18 11:58:10.571232,7月班
253,羅家豪,2021-06-28 02:38:09.172159,7月班
254,林雅涵,2021-06-28 21:31:24.039666,7月班
255,竇信宏,2021-06-17 00:57:45.244025,7月班
256,葉佩珊,2021-06-29 20:57:51.123963,7月班
257,趙瑋婷,2021-06-30 09:11:40.193084,7月班
258,張婷婷,2021-06-27 08:39:03.117487,7月班
259,張冠廷,2021-06-29 21:32:11.910745,7月班
260,高惠如,2021-06-24 10:53:59.684425,7月班
261,黃嘉玲,2021-06-19 02:53:04.780678,7月班
262,孟美玲,2021-06-28 15:41:34.596076,7月班
263,栗雅玲,2021-06-24 13:15:41.981732,7月班
264,應琬婷,2021-06-26 09:57:16.484205,7月班
265,孫建宏,2021-06-26 19:03:55.763137,7月班
266,高怡君,2021-06-27 10:10:31.328504,7月班
267,潘詩涵,2021-06-30 13:40:17.968791,7月班
268,楊冠霖,2021-06-30 09:28:53.697565,7月班
269,畢郁婷,2021-06-27 20:24:46.942397,7月班
270,張郁婷,2021-06-24 16:32:53.106102,7月班
271,穆雅涵,2021-06-29 15:15:14.373825,7月班
272,莫俊傑,2021-06-25 11:27:57.436989,7月班
273,趙中山,2021-06-23 13:50:35.053665,7月班
274,喻家瑜,2021-06-19 17:08:46.156496,7月班
275,周鈺婷,2021-06-28 20:35:58.458332,7月班
276,陳淑芬,2021-06-28 10:10:25.679141,7月班
277,李郁雯,2021-06-22 09:56:45.086681,7月班
278,劉飛,2021-06-29 04:33:37.291120,7月班
279,張淑玲,2021-06-29 00:52:46.731266,7月班
280,楊承翰,2021-06-24 03:41:00.697839,7月班
281,閻信宏,2021-06-26 09:24:32.935953,7月班
282,姜雅玲,2021-06-25 17:06:45.562377,7月班
283,張馨儀,2021-06-19 07:10:28.420919,7月班
284,王婉婷,2021-06-26 12:32:21.243272,7月班
285,徐心怡,2021-06-30 08:19:19.340922,7月班
286,王雅筑,2021-06-24 00:19:12.526027,7月班
287,明家銘,2021-06-28 14:39:51.825735,7月班
288,陳佳穎,2021-06-26 15:37:28.282205,7月班
289,劉志偉,2021-06-30 21:45:19.840957,7月班
290,萬彥廷,2021-06-22 04:30:19.682346,7月班
291,宋佩君,2021-06-28 09:08:15.620033,7月班
292,張彥廷,2021-06-21 23:27:41.978349,7月班
293,蔡威廷,2021-06-24 22:43:45.192698,7月班
294,鄧怡婷,2021-06-26 05:33:32.816940,7月班
295,李靜怡,2021-06-29 13:51:01.540336,7月班
296,張冠霖,2021-06-28 17:44:32.973438,7月班
297,曾依婷,2021-06-19 10:35:00.221279,7月班
298,林依婷,2021-06-30 20:12:42.569117,7月班
299,王怡婷,2021-06-22 14:13:14.186174,7月班
300,趙庭瑋,2021-06-27 10:48:10.898229,7月班
301,王郁婷,2021-06-29 08:20:40.172191,7月班
302,瞿詩涵,2021-06-26 05:08:48.403156,7月班
303,楊淑華,2021-06-23 21:46:58.611181,7月班
304,張冠廷,2021-06-25 02:12:20.407892,7月班
305,馬瑋婷,2021-06-24 14:17:59.214210,7月班
306,張淑玲,2021-06-25 17:01:31.450769,7月班
307,袁惠雯,2021-06-18 17:47:04.435153,7月班
308,傅沖,2021-06-25 17:25:52.214663,7月班
309,何宜君,2021-06-19 10:06:05.723876,7月班
310,李志偉,2021-06-28 17:30:13.753299,7月班
311,羅冠廷,2021-06-24 23:41:53.028919,7月班
312,李瑋婷,2021-06-21 08:34:20.563508,7月班
313,朱雅惠,2021-06-28 02:28:21.789597,7月班
314,夏淑玲,2021-06-29 22:50:51.452327,7月班
315,李淑華,2021-06-19 01:49:19.085199,7月班
316,蔣傑克,2021-06-29 03:59:45.793298,7月班
317,左宜君,2021-06-25 08:36:30.019951,7月班
318,靳美玲,2021-06-30 23:54:58.038357,7月班
319,劉思穎,2021-06-27 14:42:13.947655,7月班
320,常家銘,2021-06-30 12:07:06.015575,7月班
321,周傑克,2021-06-25 05:55:32.740386,7月班
322,金婉婷,2021-06-26 05:07:27.102890,7月班
323,陳承翰,2021-06-27 20:52:05.293371,7月班
324,張志豪,2021-06-26 19:04:45.618655,7月班
325,陳靜宜,2021-06-20 19:14:19.002704,7月班
326,沈佩君,2021-06-28 18:56:11.059439,7月班
327,張惠婷,2021-06-28 03:30:09.717629,7月班
328,戴建宏,2021-06-27 04:15:40.343592,7月班
329,王瑋婷,2021-06-29 12:03:20.215101,7月班
330,李雅琪,2021-06-25 06:46:32.132628,7月班
331,張懿,2021-06-18 04:50:50.352337,7月班
332,王信宏,2021-06-28 20:34:53.545624,7月班
333,羅嘉玲,2021-06-24 10:40:20.788152,7月班
334,楊家瑜,2021-06-28 19:25:44.406168,7月班
335,楊俊賢,2021-06-26 16:57:35.081941,7月班
336,張宗翰,2021-06-21 21:04:52.783797,7月班
337,張宜君,2021-06-26 02:25:45.405683,7月班
338,張雅芳,2021-06-30 17:05:35.155057,7月班
339,王惠如,2021-06-23 20:20:39.450029,7月班
340,滕淑娟,2021-06-30 15:45:23.169707,7月班
341,範淑玲,2021-06-28 06:18:21.183840,7月班
342,王信宏,2021-06-27 10:51:28.071505,7月班
343,董志宏,2021-06-30 10:19:12.379396,7月班
344,李佩君,2021-06-18 01:56:09.805082,7月班
345,羅淑芬,2021-06-25 17:01:55.385132,7月班
346,劉依婷,2021-06-26 00:36:40.410356,7月班
347,古佳慧,2021-06-27 14:35:38.980576,7月班
348,麥詩婷,2021-06-28 18:58:12.050816,7月班
349,魏依婷,2021-06-28 17:34:38.223146,7月班
350,崔信宏,2021-06-23 14:52:06.908790,7月班
351,李思穎,2021-06-28 04:24:49.889492,7月班
352,李婉婷,2021-06-27 00:32:42.994304,7月班
353,蔡郁雯,2021-06-23 03:54:34.754874,7月班
354,任志豪,2021-06-29 01:47:44.275497,7月班
355,王俊傑,2021-06-24 10:03:06.879150,7月班
356,朱柏翰,2021-06-29 23:19:03.493907,7月班
357,徐淑慧,2021-06-24 00:04:59.564356,7月班
358,龍柏翰,2021-06-26 17:22:24.235951,7月班
359,段琬婷,2021-06-27 10:43:42.225083,7月班
360,陳怡如,2021-06-30 20:50:06.349866,7月班
361,邢鈺婷,2021-06-27 02:00:46.396984,7月班
362,李詩涵,2021-06-23 04:06:38.223878,7月班
363,楊詩涵,2021-06-25 04:08:00.287276,7月班
364,李宜庭,2021-06-30 10:04:43.118060,7月班
365,宋俊賢,2021-06-24 23:50:55.668958,7月班
366,趙佩君,2021-06-29 23:10:12.363539,7月班
367,施懿,2021-06-30 01:54:53.949496,7月班
368,覃淑惠,2021-06-29 09:21:46.113865,7月班
369,王冠廷,2021-06-29 07:54:43.841057,7月班
370,周佳穎,2021-06-25 13:17:14.297734,7月班
371,張筱涵,2021-06-30 01:13:00.244660,7月班
372,李龍,2021-06-25 10:43:27.024453,7月班
373,吳嘉玲,2021-06-22 02:09:57.046026,7月班
374,祁靜宜,2021-06-30 23:26:09.412981,7月班
375,許雅萍,2021-06-21 10:17:17.551871,7月班
376,楊怡安,2021-06-17 09:07:07.095907,7月班
377,陳信宏,2021-06-30 04:17:32.769574,7月班
378,閻淑貞,2021-06-25 20:07:36.979162,7月班
379,李俊傑,2021-06-22 15:02:03.819581,7月班
380,程雅惠,2021-06-28 19:11:41.115992,7月班
381,錢佩君,2021-06-27 17:18:21.038663,7月班
382,郭志偉,2021-06-29 21:39:02.880537,7月班
383,傅宜庭,2021-06-23 20:13:56.403335,7月班
384,朱惠如,2021-06-27 00:49:01.730417,7月班
385,丁詩婷,2021-06-23 09:06:18.630613,7月班
386,全建宏,2021-06-29 23:14:59.539715,7月班
387,陳鈺婷,2021-06-27 20:24:50.186482,7月班
388,劉柏翰,2021-06-22 08:55:19.981983,7月班
389,房宜庭,2021-06-29 11:13:55.131160,7月班
390,李瑋婷,2021-06-25 03:51:37.854692,7月班
391,王雅婷,2021-06-29 10:14:50.336330,7月班
392,龐雅萍,2021-06-21 23:49:39.866314,7月班
393,金志豪,2021-06-29 17:02:23.322010,7月班
394,黃雅惠,2021-06-25 10:06:21.841516,7月班
395,張佳玲,2021-06-27 19:01:54.093709,7月班
396,李筱涵,2021-06-27 22:19:31.741692,7月班
397,戴柏翰,2021-06-25 13:34:21.350273,7月班
398,蕭依婷,2021-06-19 15:18:58.117581,7月班
399,吳信宏,2021-06-25 12:37:08.875504,7月班
400,魯怡如,2021-06-22 15:54:37.502734,7月班
401,金詩涵,2021-06-22 12:24:42.161965,7月班
402,劉雅玲,2021-06-29 03:35:57.704754,7月班
403,孫佳穎,2021-06-21 20:38:43.763958,7月班
404,鐘雅文,2021-06-25 11:57:20.359516,7月班
405,陳信宏,2021-06-30 20:11:23.547273,7月班
406,張瑋婷,2021-06-27 08:33:32.452231,7月班
407,陳中山,2021-06-28 20:56:39.967354,7月班
408,劉怡婷,2021-06-24 08:25:44.640714,7月班
409,王心怡,2021-06-27 21:01:46.142364,7月班
410,聶惠婷,2021-06-24 17:40:22.910157,7月班
411,劉承翰,2021-06-25 00:05:34.975639,7月班
412,王家瑜,2021-07-31 14:34:12.862559,8月班
413,黃志偉,2021-07-27 21:18:09.504640,8月班
414,王琬婷,2021-07-26 12:54:46.151988,8月班
415,柯威廷,2021-07-29 13:00:03.590505,8月班
416,賈佳樺,2021-07-25 00:38:33.276831,8月班
417,王淑娟,2021-07-30 11:32:06.878474,8月班
418,張羽,2021-07-31 09:44:34.469205,8月班
419,張筱涵,2021-07-30 21:49:40.218972,8月班
420,王庭瑋,2021-07-27 17:58:52.545740,8月班
421,張雅玲,2021-07-24 19:00:42.964161,8月班
422,張雅筑,2021-07-28 12:31:54.807276,8月班
423,廖詩涵,2021-07-31 04:56:30.026931,8月班
424,李雅芳,2021-07-30 18:07:39.545720,8月班
425,劉志偉,2021-07-29 14:20:55.170294,8月班
426,李怡安,2021-07-29 11:42:50.543411,8月班
427,黃佳穎,2021-07-31 05:41:14.648591,8月班
428,盧雅萍,2021-07-25 15:38:47.241306,8月班
429,楊傑克,2021-07-29 06:16:16.361716,8月班
430,胡淑慧,2021-07-28 08:39:47.030219,8月班
431,蔔俊賢,2021-07-30 01:25:55.409181,8月班
432,傅雅玲,2021-07-31 10:35:45.310130,8月班
433,林雅慧,2021-07-25 13:08:35.239921,8月班
434,王冠廷,2021-07-30 16:32:03.985250,8月班
435,顧志宏,2021-07-30 21:47:50.865304,8月班
436,葛淑惠,2021-07-26 11:33:48.814284,8月班
437,程鈺婷,2021-07-21 23:39:29.885870,8月班
438,湯怡君,2021-07-26 05:05:02.220668,8月班
439,劉家瑋,2021-07-27 02:49:05.666256,8月班
440,郭威廷,2021-07-29 04:41:07.543507,8月班
441,申哲瑋,2021-07-30 19:21:12.770230,8月班
442,鄧哲瑋,2021-07-31 02:15:39.398208,8月班
443,馬靜怡,2021-07-27 15:04:31.807944,8月班
444,閔龍,2021-07-28 05:00:11.546513,8月班
445,黃佳樺,2021-07-30 05:16:02.215592,8月班
446,溫惠如,2021-07-31 19:47:37.152948,8月班
447,高琬婷,2021-07-31 15:37:16.077897,8月班
448,張冠霖,2021-07-26 10:32:44.804985,8月班
449,周嘉玲,2021-07-25 22:33:10.729848,8月班
450,李雅婷,2021-07-28 15:42:14.325793,8月班
451,劉佳慧,2021-07-29 14:42:23.060148,8月班
452,吳佳穎,2021-07-31 01:41:12.746450,8月班
453,施淑娟,2021-07-29 06:41:55.739823,8月班
454,丁馨儀,2021-07-28 04:09:41.964193,8月班
455,何宗翰,2021-07-30 14:30:44.555410,8月班
456,劉淑玲,2021-07-25 00:42:59.038659,8月班
457,張中山,2021-07-21 07:08:51.102181,8月班
458,簡宜君,2021-07-29 15:27:59.175378,8月班
459,李怡君,2021-07-31 18:02:52.176811,8月班
460,張雅婷,2021-07-26 18:23:41.273542,8月班
461,吳靜怡,2021-07-24 14:32:08.718997,8月班
462,吉志宏,2021-07-27 10:28:36.341079,8月班
463,林雅文,2021-07-23 15:52:44.330076,8月班
464,趙威廷,2021-07-26 06:55:56.228490,8月班
465,李建宏,2021-07-19 18:44:46.727221,8月班
466,姜志偉,2021-07-28 07:25:52.479866,8月班
467,雷傑克,2021-07-29 12:37:18.066776,8月班
468,胡嘉玲,2021-07-26 05:11:54.366332,8月班
469,黃羽,2021-07-29 04:32:35.023757,8月班
470,陳雅琪,2021-07-26 12:21:26.852395,8月班
471,劉郁婷,2021-07-30 11:13:43.631445,8月班
472,周婷婷,2021-07-30 04:59:51.534062,8月班
473,陳俊宏,2021-07-29 12:59:19.271653,8月班
474,閻依婷,2021-07-31 06:17:04.486784,8月班
475,王雅筑,2021-07-28 22:44:52.051414,8月班
476,劉冠宇,2021-07-24 13:06:47.839824,8月班
477,趙佳慧,2021-07-22 08:09:23.178163,8月班
478,李家瑜,2021-07-24 00:57:41.724773,8月班
479,何依婷,2021-07-29 17:58:34.552061,8月班
480,曾思穎,2021-07-31 09:48:07.945138,8月班
481,李雅惠,2021-07-29 15:38:28.419193,8月班
482,鐘家銘,2021-07-29 20:33:05.396525,8月班
483,胡家瑋,2021-07-28 12:25:18.558617,8月班
484,張郁婷,2021-07-28 19:19:18.562328,8月班
485,張俊傑,2021-07-22 21:16:52.976667,8月班
486,周哲瑋,2021-07-28 14:23:57.587328,8月班
487,施俊宏,2021-07-29 20:26:21.765478,8月班
488,王惠雯,2021-07-30 03:20:07.598662,8月班
489,黃雅涵,2021-07-29 20:23:49.171313,8月班
490,王雅婷,2021-07-26 23:26:14.139882,8月班
491,馬惠婷,2021-07-29 21:31:15.324341,8月班
492,呂惠雯,2021-07-26 15:33:34.444360,8月班
